transaction_id,user_id,amount,status,bank,timestamp,device,retry_count,error_code
1,1102,494,success,Axis,01-01-2025 00:00,iOS,0,none
2,1435,85,success,HDFC,01-01-2025 01:00,iOS,2,none
3,1860,1525,success,Axis,01-01-2025 02:00,Android,1,none
4,1270,4007,success,SBI,01-01-2025 03:00,Android,0,none
5,1106,1848,success,ICICI,01-01-2025 04:00,Android,1,none
6,1071,1895,success,SBI,01-01-2025 05:00,Android,2,none
7,1700,1458,success,HDFC,01-01-2025 06:00,iOS,1,none
8,1020,1758,success,SBI,01-01-2025 07:00,Android,2,none
9,1614,2988,failed,ICICI,01-01-2025 08:00,iOS,2,server_error
10,1121,1350,failed,HDFC,01-01-2025 09:00,Android,2,insufficient_balance
11,1466,1293,success,HDFC,01-01-2025 10:00,iOS,1,none
12,1214,4026,success,ICICI,01-01-2025 11:00,Android,1,none
13,1330,3147,success,ICICI,01-01-2025 12:00,Android,0,none
14,1458,4666,success,ICICI,01-01-2025 13:00,iOS,0,none
15,1087,59,success,SBI,01-01-2025 14:00,iOS,1,none
16,1372,2475,success,Axis,01-01-2025 15:00,Android,1,none
17,1099,1710,success,SBI,01-01-2025 16:00,Android,1,none
18,1871,2681,success,SBI,01-01-2025 17:00,Android,1,none
19,1663,4865,success,Axis,01-01-2025 18:00,iOS,2,none
20,1130,1122,success,ICICI,01-01-2025 19:00,Android,2,none
21,1661,3275,success,ICICI,01-01-2025 20:00,iOS,2,none
22,1308,1366,success,Axis,01-01-2025 21:00,Android,1,none
23,1769,4195,success,Axis,01-01-2025 22:00,Android,2,none
24,1343,3733,success,SBI,01-01-2025 23:00,Android,2,none
25,1491,3323,success,HDFC,02-01-2025 00:00,Android,0,none
26,1413,195,failed,Axis,02-01-2025 01:00,iOS,0,server_error
27,1805,3090,success,SBI,02-01-2025 02:00,iOS,2,none
28,1385,1512,failed,HDFC,02-01-2025 03:00,Android,2,insufficient_balance
29,1191,4726,failed,ICICI,02-01-2025 04:00,Android,2,insufficient_balance
30,1955,1634,success,ICICI,02-01-2025 05:00,Android,1,none
31,1276,532,success,SBI,02-01-2025 06:00,iOS,0,none
32,1160,3229,success,SBI,02-01-2025 07:00,Android,0,none
33,1459,1299,failed,Axis,02-01-2025 08:00,iOS,0,server_error
34,1313,4818,success,ICICI,02-01-2025 09:00,iOS,2,none
35,1021,680,success,SBI,02-01-2025 10:00,iOS,1,none
36,1252,711,success,ICICI,02-01-2025 11:00,iOS,0,none
37,1747,3553,success,ICICI,02-01-2025 12:00,Android,0,none
38,1856,2902,success,Axis,02-01-2025 13:00,Android,1,none
39,1560,2516,success,HDFC,02-01-2025 14:00,iOS,2,none
40,1474,1037,success,Axis,02-01-2025 15:00,Android,2,none
41,1058,1596,failed,SBI,02-01-2025 16:00,Android,0,insufficient_balance
42,1510,699,success,Axis,02-01-2025 17:00,Android,0,none
43,1681,1018,failed,Axis,02-01-2025 18:00,iOS,1,insufficient_balance
44,1475,2687,success,ICICI,02-01-2025 19:00,Android,0,none
45,1699,1150,success,Axis,02-01-2025 20:00,Android,1,none
46,1975,490,success,SBI,02-01-2025 21:00,Android,0,none
47,1782,819,success,HDFC,02-01-2025 22:00,Android,0,none
48,1189,1393,success,Axis,02-01-2025 23:00,Android,0,none
49,1957,4408,success,Axis,03-01-2025 00:00,Android,2,none
50,1686,3779,success,HDFC,03-01-2025 01:00,Android,1,none
51,1957,3956,failed,SBI,03-01-2025 02:00,Android,1,insufficient_balance
52,1562,1627,failed,SBI,03-01-2025 03:00,Android,2,timeout
53,1875,4058,success,Axis,03-01-2025 04:00,Android,2,none
54,1566,3401,success,ICICI,03-01-2025 05:00,iOS,2,none
55,1243,4845,success,Axis,03-01-2025 06:00,Android,1,none
56,1831,2399,success,HDFC,03-01-2025 07:00,iOS,0,none
57,1504,3652,failed,HDFC,03-01-2025 08:00,Android,2,server_error
58,1130,1291,success,HDFC,03-01-2025 09:00,iOS,2,none
59,1484,1175,success,Axis,03-01-2025 10:00,iOS,2,none
60,1818,2651,failed,Axis,03-01-2025 11:00,Android,0,insufficient_balance
61,1646,1240,success,SBI,03-01-2025 12:00,iOS,0,none
62,1020,4181,success,ICICI,03-01-2025 13:00,iOS,2,none
63,1840,4889,success,Axis,03-01-2025 14:00,iOS,0,none
64,1166,4498,success,SBI,03-01-2025 15:00,Android,2,none
65,1273,122,success,Axis,03-01-2025 16:00,iOS,0,none
66,1387,1964,success,SBI,03-01-2025 17:00,iOS,1,none
67,1600,2522,success,SBI,03-01-2025 18:00,Android,1,none
68,1315,3096,success,ICICI,03-01-2025 19:00,iOS,0,none
69,1013,757,success,Axis,03-01-2025 20:00,iOS,1,none
70,1241,1854,success,SBI,03-01-2025 21:00,iOS,1,none
71,1776,3763,success,HDFC,03-01-2025 22:00,Android,1,none
72,1345,2614,success,HDFC,03-01-2025 23:00,iOS,2,none
73,1564,2525,success,HDFC,04-01-2025 00:00,Android,0,none
74,1897,3660,success,ICICI,04-01-2025 01:00,iOS,0,none
75,1339,4305,success,SBI,04-01-2025 02:00,iOS,0,none
76,1091,2873,success,ICICI,04-01-2025 03:00,iOS,1,none
77,1366,1785,success,Axis,04-01-2025 04:00,iOS,2,none
78,1955,1635,success,Axis,04-01-2025 05:00,Android,0,none
79,1454,116,success,SBI,04-01-2025 06:00,iOS,1,none
80,1427,3111,success,HDFC,04-01-2025 07:00,Android,2,none
81,1508,2478,success,SBI,04-01-2025 08:00,iOS,2,none
82,1775,4203,success,SBI,04-01-2025 09:00,Android,0,none
83,1942,391,success,SBI,04-01-2025 10:00,iOS,0,none
84,1034,2824,success,ICICI,04-01-2025 11:00,iOS,1,none
85,1205,2867,success,Axis,04-01-2025 12:00,Android,0,none
86,1080,2711,failed,SBI,04-01-2025 13:00,Android,1,server_error
87,1931,1282,success,SBI,04-01-2025 14:00,Android,2,none
88,1561,3924,success,SBI,04-01-2025 15:00,Android,2,none
89,1871,2451,success,ICICI,04-01-2025 16:00,iOS,2,none
90,1387,1544,success,ICICI,04-01-2025 17:00,Android,2,none
91,1001,4261,success,ICICI,04-01-2025 18:00,Android,0,none
92,1389,711,success,SBI,04-01-2025 19:00,Android,0,none
93,1565,3933,success,HDFC,04-01-2025 20:00,iOS,1,none
94,1105,3669,success,HDFC,04-01-2025 21:00,iOS,1,none
95,1771,1918,success,HDFC,04-01-2025 22:00,iOS,1,none
96,1821,2384,success,Axis,04-01-2025 23:00,iOS,1,none
97,1476,3424,success,SBI,05-01-2025 00:00,Android,1,none
98,1702,1066,success,HDFC,05-01-2025 01:00,iOS,2,none
99,1401,4456,failed,HDFC,05-01-2025 02:00,Android,2,timeout
100,1729,257,success,HDFC,05-01-2025 03:00,iOS,2,none
101,1555,2715,failed,SBI,05-01-2025 04:00,Android,1,timeout
102,1161,2543,success,HDFC,05-01-2025 05:00,Android,2,none
103,1201,682,success,HDFC,05-01-2025 06:00,Android,2,none
104,1957,2152,success,SBI,05-01-2025 07:00,Android,2,none
105,1995,3009,success,Axis,05-01-2025 08:00,Android,2,none
106,1269,3133,success,ICICI,05-01-2025 09:00,iOS,0,none
107,1862,4802,success,HDFC,05-01-2025 10:00,Android,1,none
108,1815,1981,success,ICICI,05-01-2025 11:00,Android,1,none
109,1270,3769,failed,Axis,05-01-2025 12:00,Android,0,server_error
110,1455,2612,success,Axis,05-01-2025 13:00,Android,2,none
111,1461,1729,success,HDFC,05-01-2025 14:00,iOS,2,none
112,1726,286,success,SBI,05-01-2025 15:00,iOS,2,none
113,1251,4493,success,Axis,05-01-2025 16:00,Android,1,none
114,1701,4775,success,ICICI,05-01-2025 17:00,Android,1,none
115,1295,1590,success,ICICI,05-01-2025 18:00,Android,1,none
116,1724,3993,failed,ICICI,05-01-2025 19:00,Android,1,server_error
117,1719,413,success,ICICI,05-01-2025 20:00,iOS,1,none
118,1748,2418,success,Axis,05-01-2025 21:00,iOS,0,none
119,1337,335,success,HDFC,05-01-2025 22:00,Android,1,none
120,1878,198,failed,HDFC,05-01-2025 23:00,Android,2,timeout
121,1052,4087,success,ICICI,06-01-2025 00:00,Android,1,none
122,1791,4601,success,HDFC,06-01-2025 01:00,Android,0,none
123,1921,1816,success,ICICI,06-01-2025 02:00,Android,2,none
124,1216,4945,success,ICICI,06-01-2025 03:00,iOS,0,none
125,1763,1062,success,SBI,06-01-2025 04:00,iOS,2,none
126,1187,2881,success,Axis,06-01-2025 05:00,Android,1,none
127,1379,2557,success,Axis,06-01-2025 06:00,iOS,0,none
128,1492,1573,success,ICICI,06-01-2025 07:00,iOS,2,none
129,1040,2835,success,Axis,06-01-2025 08:00,iOS,1,none
130,1156,2606,success,HDFC,06-01-2025 09:00,Android,2,none
131,1014,3775,success,ICICI,06-01-2025 10:00,iOS,0,none
132,1812,4626,success,SBI,06-01-2025 11:00,iOS,0,none
133,1064,1651,success,HDFC,06-01-2025 12:00,Android,0,none
134,1856,2458,success,SBI,06-01-2025 13:00,iOS,0,none
135,1838,390,success,SBI,06-01-2025 14:00,Android,1,none
136,1520,2867,success,Axis,06-01-2025 15:00,iOS,2,none
137,1343,2546,failed,Axis,06-01-2025 16:00,Android,1,insufficient_balance
138,1128,4980,success,ICICI,06-01-2025 17:00,Android,0,none
139,1647,1775,success,Axis,06-01-2025 18:00,iOS,2,none
140,1471,1739,success,SBI,06-01-2025 19:00,iOS,0,none
141,1062,3317,success,SBI,06-01-2025 20:00,Android,1,none
142,1138,4456,success,HDFC,06-01-2025 21:00,Android,1,none
143,1498,311,success,SBI,06-01-2025 22:00,iOS,1,none
144,1592,1492,success,ICICI,06-01-2025 23:00,iOS,2,none
145,1391,455,success,ICICI,07-01-2025 00:00,iOS,2,none
146,1674,2240,success,Axis,07-01-2025 01:00,iOS,0,none
147,1418,4487,success,Axis,07-01-2025 02:00,Android,2,none
148,1288,293,success,Axis,07-01-2025 03:00,Android,2,none
149,1378,4635,success,ICICI,07-01-2025 04:00,Android,1,none
150,1772,4157,failed,SBI,07-01-2025 05:00,iOS,0,server_error
151,1489,610,failed,Axis,07-01-2025 06:00,iOS,1,insufficient_balance
152,1230,4187,success,HDFC,07-01-2025 07:00,Android,0,none
153,1040,2775,success,Axis,07-01-2025 08:00,Android,0,none
154,1027,643,success,ICICI,07-01-2025 09:00,Android,2,none
155,1134,1876,success,Axis,07-01-2025 10:00,Android,1,none
156,1200,3279,success,SBI,07-01-2025 11:00,Android,2,none
157,1839,3337,success,Axis,07-01-2025 12:00,Android,2,none
158,1779,4123,success,ICICI,07-01-2025 13:00,iOS,2,none
159,1929,183,success,ICICI,07-01-2025 14:00,Android,0,none
